year,weekssofar,ID,name,massey,normalizedMassey
2013,1,3,Baltimore Ravens Offense,15.78773979,1
2013,1,28,San Francisco 49ers Offense,15.46614186,0.9883679693
2013,1,19,New England Patriots Offense,10.77124681,0.8185560436
2013,1,2,Atlanta Falcons Offense,9.790180938,0.7830713982
2013,1,10,Denver Broncos Offense,9.70446019,0.7799709231
2013,1,12,Green Bay Packers Offense,9.363898114,0.767652969
2013,1,29,Seattle Seahawks Offense,9.009037016,0.7548178266
2013,1,13,Houston Texans Offense,7.454280406,0.6985830841
2013,1,32,Washington Commanders Offense,5.955269606,0.6443646387
2013,1,9,Dallas Cowboys Offense,4.985172809,0.6092767393
2013,1,20,New Orleans Saints Offense,4.600186964,0.5953520003
2013,1,7,Cincinnati Bengals Offense,4.285211721,0.5839595087
2013,1,21,New York Giants Offense,3.625971588,0.5601151341
2013,1,18,Minnesota Vikings Offense,3.564233425,0.5578820966
2013,1,30,Tampa Bay Buccaneers Offense,3.289314241,0.5479384119
2013,1,27,Los Angeles Chargers Offense,3.157943671,0.5431868064
2013,1,5,Carolina Panthers Offense,3.15650954,0.5431349346
2013,1,14,Indianapolis Colts Offense,3.065832928,0.5398552084
2013,1,11,Detroit Lions Offense,2.931788053,0.5350068746
2013,1,24,Philadelphia Eagles Offense,2.46157462,0.5179994979
2013,1,6,Chicago Bears Offense,2.36761561,0.5146010491
2013,1,4,Buffalo Bills Offense,2.089251166,0.5045327511
2013,1,26,Los Angeles Rams Offense,2.006719299,0.5015476162
2013,1,31,Tennessee Titans Offense,1.759396725,0.4926020866
2013,1,23,Las Vegas Raiders Offense,1.586872173,0.4863619628
2013,1,25,Pittsburgh Steelers Offense,1.47018509,0.4821414514
2013,1,17,Miami Dolphins Offense,1.12755104,0.469748555
2013,1,8,Cleveland Browns Offense,1.01284102,0.4655995529
2013,1,22,New York Jets Offense,0.6781848449,0.4534952121
2013,1,1,Arizona Cardinals Offense,0.6469426239,0.4523651971
2013,1,16,Kansas City Chiefs Offense,0.2339462462,0.4374273317
2013,1,15,Jacksonville Jaguars Offense,-0.2949340834,0.4182980037
2013,1,38,Chicago Bears Defense,-1.451754332,0.3764564136
2013,1,57,Pittsburgh Steelers Defense,-1.672897969,0.3684577627
2013,1,37,Carolina Panthers Defense,-1.673270537,0.3684442871
2013,1,49,Miami Dolphins Defense,-1.689111864,0.3678713144
2013,1,58,Los Angeles Rams Defense,-1.754521928,0.3655054663
