year,weeksofar,id,team,massey,normalizedMassey
2016,1,54,New York Jets Defense,1.8327,1
2016,1,45,Houston Texans Defense,1.8320725,0.9998288045
2016,1,61,Seattle Seahawks Defense,1.73403,0.9730807006
2016,1,36,Buffalo Bills Defense,1.538703,0.9197912915
2016,1,59,Los Angeles Chargers Defense,1.376573,0.8755587385
2016,1,49,Miami Dolphins Defense,1.307252,0.8566464779
2016,1,38,Chicago Bears Defense,1.148117,0.8132310253
2016,1,40,Cleveland Browns Defense,1.102835,0.8008771212
2016,1,56,Philadelphia Eagles Defense,1.079429,0.7944914607
2016,1,51,New England Patriots Defense,1.035346,0.7824646696
2016,1,46,Indianapolis Colts Defense,0.953458,0.760123861
2016,1,42,Denver Broncos Defense,0.9388295,0.7561328914
2016,1,50,Minnesota Vikings Defense,0.919525,0.7508662083
2016,1,43,Detroit Lions Defense,0.8447445,0.7304644786
2016,1,60,San Francisco 49ers Defense,0.775208,0.711493425
2016,1,35,Baltimore Ravens Defense,0.7576895,0.7067140012
2016,1,62,Tampa Bay Buccaneers Defense,0.7098645,0.693666312
2016,1,33,Arizona Cardinals Defense,0.7063005,0.6926939761
2016,1,44,Green Bay Packers Defense,0.663833,0.6811079282
2016,1,64,Washington Commanders Defense,0.6631685,0.6809266383
2016,1,34,Atlanta Falcons Defense,0.642644,0.675327113
2016,1,37,Carolina Panthers Defense,0.623763,0.6701759699
2016,1,48,Kansas City Chiefs Defense,0.537516,0.6466459322
2016,1,55,Las Vegas Raiders Defense,0.4963854,0.6354246194
2016,1,39,Cincinnati Bengals Defense,0.4885138,0.6332770775
2016,1,63,Tennessee Titans Defense,0.4471806,0.6220004911
2016,1,52,New Orleans Saints Defense,0.31123535,0.5849117013
2016,1,41,Dallas Cowboys Defense,0.30018795,0.5818977329
2016,1,53,New York Giants Defense,0.29489475,0.580453634
2016,1,47,Jacksonville Jaguars Defense,0.2615598,0.5713591422
2016,1,57,Pittsburgh Steelers Defense,0.23632235,0.5644738228
2016,1,58,Los Angeles Rams Defense,0.1016711,0.5277380641
2016,1,28,San Francisco 49ers Offense,-0.1016711,0.4722619359
2016,1,32,Washington Commanders Offense,-0.23632235,0.4355261772
2016,1,12,Green Bay Packers Offense,-0.2615598,0.4286408578
2016,1,9,Dallas Cowboys Offense,-0.29489475,0.419546366
2016,1,21,New York Giants Offense,-0.30018795,0.4181022671
2016,1,23,Las Vegas Raiders Offense,-0.31123535,0.4150882987
2016,1,18,Minnesota Vikings Offense,-0.4471806,0.3779995089
2016,1,22,New York Jets Offense,-0.4885138,0.3667229225
2016,1,20,New Orleans Saints Offense,-0.4963854,0.3645753806
2016,1,27,Los Angeles Chargers Offense,-0.537516,0.3533540678
2016,1,10,Denver Broncos Offense,-0.623763,0.3298240301
2016,1,30,Tampa Bay Buccaneers Offense,-0.642644,0.324672887
2016,1,25,Pittsburgh Steelers Offense,-0.6631685,0.3190733617
2016,1,15,Jacksonville Jaguars Offense,-0.663833,0.3188920718
2016,1,19,New England Patriots Offense,-0.7063005,0.3073060239
2016,1,2,Atlanta Falcons Offense,-0.7098645,0.306333688
2016,1,4,Buffalo Bills Offense,-0.7576895,0.2932859988
2016,1,26,Los Angeles Rams Offense,-0.775208,0.288506575
2016,1,14,Indianapolis Colts Offense,-0.8447445,0.2695355214
2016,1,31,Tennessee Titans Offense,-0.919525,0.2491337917
2016,1,5,Carolina Panthers Offense,-0.9388295,0.2438671086
2016,1,11,Detroit Lions Offense,-0.953458,0.239876139
2016,1,1,Arizona Cardinals Offense,-1.035346,0.2175353304
2016,1,8,Cleveland Browns Offense,-1.079429,0.2055085393
