season,weeksofar,teamID,team,massey,normalizedMassey
2012,21,28,San Francisco 49ers,4.921090623,1
2012,21,19,New England Patriots,4.033220001,0.9112129378
2012,21,3,Baltimore Ravens,4.004715143,0.908362452
2012,21,29,Seattle Seahawks,3.909876998,0.8988786375
2012,21,10,Denver Broncos,3.516945594,0.8595854971
2012,21,12,Green Bay Packers,2.957017226,0.8035926603
2012,21,2,Atlanta Falcons,2.484762639,0.7563672016
2012,21,13,Houston Texans,1.837556488,0.6916465865
2012,21,21,New York Giants,1.730390875,0.6809300252
2012,21,6,Chicago Bears,1.529153176,0.6608062553
2012,21,5,Carolina Panthers,0.5499683591,0.5628877736
2012,21,18,Minnesota Vikings,0.3881419528,0.546705133
2012,21,7,Cincinnati Bengals,0.3319184586,0.5410827836
2012,21,26,Los Angeles Rams,0.3199577936,0.5398867171
2012,21,32,Washington Commanders,0.2199207901,0.5298830167
2012,21,30,Tampa Bay Buccaneers,-0.02019234507,0.5058717032
2012,21,9,Dallas Cowboys,-0.1612919316,0.4917617445
2012,21,25,Pittsburgh Steelers,-0.2140709521,0.4864838425
2012,21,20,New Orleans Saints,-0.3243299581,0.4754579419
2012,21,17,Miami Dolphins,-0.6139320151,0.4464977362
2012,21,27,Los Angeles Chargers,-0.9077534544,0.4171155923
2012,21,14,Indianapolis Colts,-1.251619911,0.3827289466
2012,21,1,Arizona Cardinals,-1.254373256,0.3824536121
2012,21,4,Buffalo Bills,-1.556916316,0.3521993061
2012,21,22,New York Jets,-1.679753107,0.339915627
2012,21,11,Detroit Lions,-1.855757937,0.322315144
2012,21,8,Cleveland Browns,-2.533087896,0.2545821481
2012,21,31,Tennessee Titans,-2.851895798,0.222701358
2012,21,23,Las Vegas Raiders,-3.606531885,0.1472377492
2012,21,24,Philadelphia Eagles,-3.753462163,0.1325447214
2012,21,16,Kansas City Chiefs,-5.070757814,0.0008151563293
2012,21,15,Jacksonville Jaguars,-5.078909377,0
2013,1,28,San Francisco 49ers,5.039144897,1
2013,1,29,Seattle Seahawks,4.772096917,0.973295202
2013,1,3,Baltimore Ravens,4.452938349,0.9413793453
2013,1,10,Denver Broncos,3.985742117,0.894659722
2013,1,19,New England Patriots,3.149420912,0.8110276016
2013,1,12,Green Bay Packers,1.261097353,0.6221952456
2013,1,5,Carolina Panthers,1.249052189,0.6209907292
2013,1,26,Los Angeles Rams,0.8705286442,0.5831383747
2013,1,20,New Orleans Saints,0.6962351795,0.5657090283
2013,1,2,Atlanta Falcons,0.6761173544,0.5636972458
2013,1,17,Miami Dolphins,0.5936472233,0.5554502326
2013,1,6,Chicago Bears,0.5769622963,0.55378174
2013,1,21,New York Giants,0.2340732019,0.5194928305
2013,1,9,Dallas Cowboys,-0.008267329512,0.4952587774
2013,1,13,Houston Texans,-0.1545029436,0.480635216
2013,1,7,Cincinnati Bengals,-0.3872923234,0.457356278
2013,1,27,Los Angeles Chargers,-0.5375514429,0.442330366
2013,1,4,Buffalo Bills,-0.5941277449,0.4366727358
2013,1,30,Tampa Bay Buccaneers,-0.6733314945,0.4287523609
2013,1,32,Washington Commanders,-1.013909265,0.3946945838
2013,1,25,Pittsburgh Steelers,-1.107452465,0.3853402638
2013,1,14,Indianapolis Colts,-1.205627059,0.3755228044
2013,1,11,Detroit Lions,-1.236487068,0.3724368035
2013,1,22,New York Jets,-1.244291459,0.3716563644
2013,1,31,Tennessee Titans,-1.256674784,0.370418032
2013,1,18,Minnesota Vikings,-1.552692221,0.3408162882
2013,1,1,Arizona Cardinals,-1.584902533,0.3375952571
2013,1,8,Cleveland Browns,-2.434975625,0.2525879478
2013,1,23,Las Vegas Raiders,-2.508737097,0.2452118006
2013,1,16,Kansas City Chiefs,-2.533372821,0.2427482282
2013,1,24,Philadelphia Eagles,-2.562005854,0.2398849249
2013,1,15,Jacksonville Jaguars,-4.960855103,0
2013,2,29,Seattle Seahawks,4.980324921,1
2013,2,10,Denver Broncos,4.771551201,0.9791226281
2013,2,3,Baltimore Ravens,4.45805117,0.9477726249
2013,2,28,San Francisco 49ers,3.95110215,0.897077723
2013,2,19,New England Patriots,3.360313747,0.8379988826
2013,2,12,Green Bay Packers,1.436894352,0.6456569431
2013,2,17,Miami Dolphins,1.063560516,0.6083235595
2013,2,20,New Orleans Saints,0.9030585773,0.5922733657
2013,2,5,Carolina Panthers,0.8651607043,0.5884835784
2013,2,2,Atlanta Falcons,0.8105416928,0.5830216772
2013,2,13,Houston Texans,0.6560020626,0.5675677142
2013,2,6,Chicago Bears,0.4606964005,0.548037148
2013,2,7,Cincinnati Bengals,0.3089314008,0.532860648
2013,2,26,Los Angeles Rams,0.3048796359,0.5324554715
2013,2,27,Los Angeles Chargers,-0.04903331667,0.4970641763
2013,2,4,Buffalo Bills,-0.1810214004,0.4838653679
2013,2,30,Tampa Bay Buccaneers,-0.6191939353,0.4400481144
2013,2,9,Dallas Cowboys,-0.7367469807,0.4282928099
2013,2,22,New York Jets,-0.8170375306,0.4202637549
2013,2,21,New York Giants,-0.9216830818,0.4097991997
2013,2,14,Indianapolis Colts,-1.148627824,0.3871047256
2013,2,23,Las Vegas Raiders,-1.254442206,0.3765232874
2013,2,1,Arizona Cardinals,-1.314168017,0.3705507062
2013,2,18,Minnesota Vikings,-1.476819518,0.3542855561
2013,2,31,Tennessee Titans,-1.569912968,0.3449762111
2013,2,16,Kansas City Chiefs,-1.600051483,0.3419623597
2013,2,11,Detroit Lions,-1.649149329,0.337052575
2013,2,25,Pittsburgh Steelers,-2.086775942,0.2932899137
2013,2,32,Washington Commanders,-2.11100637,0.290866871
2013,2,8,Cleveland Browns,-2.586178737,0.2433496342
2013,2,24,Philadelphia Eagles,-3.189544814,0.1830130265
2013,2,15,Jacksonville Jaguars,-5.019675079,0
2013,3,10,Denver Broncos,5.32171195,1
2013,3,3,Baltimore Ravens,4.524745083,0.9203033133
2013,3,29,Seattle Seahawks,4.461832776,0.9140120826
2013,3,19,New England Patriots,3.488762829,0.8167050879
2013,3,28,San Francisco 49ers,2.51541567,0.719370372
2013,3,5,Carolina Panthers,1.633890587,0.6312178637
