season,team,position,status,full_name,first_name,last_name,gsis_id,pff_id,years_exp,week,game_type,rookie_year,team_number
2015,ARZ,QB,ACT,Carson Palmer,Carson,Palmer,00-0021429,1317,12,1,REG,2003,1
2015,ARZ,WR,ACT,Larry Fitzgerald,Larry,Fitzgerald,00-0022921,1724,11,1,REG,2004,1
2015,ARZ,DL,ACT,Frostee Rucker,Frostee,Rucker,00-0024306,3036,9,1,REG,2006,1
2015,ARZ,QB,ACT,Drew Stanton,Drew,Stanton,00-0025430,3659,8,1,REG,2007,1
2015,ARZ,OL,ACT,Lyle Sendlein,Lyle,Sendlein,00-0025682,NA,8,1,REG,2007,1
2015,ARZ,DL,ACT,Calais Campbell,Calais,Campbell,00-0026190,4364,7,1,REG,2008,1
2015,ARZ,OL,ACT,A.Q. Shipley,Allan,Shipley,00-0026950,NA,6,1,REG,2009,1
2015,ARZ,DB,ACT,Jerraud Powers,Courtney,Powers,00-0027064,NA,6,1,REG,2009,1
2015,ARZ,DB,ACT,Rashad Johnson,Julian,Johnson,00-0027067,NA,6,1,REG,2009,1
2015,ARZ,DB,ACT,Chris Clemons,Christian,Clemons,00-0027115,NA,6,1,REG,2009,1
2015,ARZ,OL,ACT,Ted Larsen,Theodore,Larsen,00-0027607,NA,5,1,REG,2010,1
2015,ARZ,OL,ACT,Jared Veldheer,Edwin,Veldheer,00-0027674,NA,5,1,REG,2010,1
2015,ARZ,OL,ACT,Mike Iupati,Mike,Iupati,00-0027869,NA,5,1,REG,2010,1
2015,ARZ,LB,ACT,Sean Weatherspoon,Franklin,Weatherspoon,00-0027871,NA,5,1,REG,2010,1
2015,ARZ,WR,ACT,Jermaine Gresham,Jermaine,Gresham,00-0027873,5546,5,1,REG,2010,1
2015,ARZ,DB,ACT,Patrick Peterson,Patrick,Peterson,00-0027943,6157,4,1,REG,2011,1
2015,ARZ,P,ACT,Drew Butler,Drew,Butler,00-0028952,NA,3,1,REG,2012,1
2015,ARZ,OL,ACT,Bradley Sowell,Bradley,Sowell,00-0029091,NA,3,1,REG,2012,1
2015,ARZ,WR,ACT,Brittan Golden,Brittan,Golden,00-0029336,7481,3,1,REG,2012,1
2015,ARZ,DB,ACT,Justin Bethel,Justin,Bethel,00-0029530,7654,3,1,REG,2012,1
2015,ARZ,WR,ACT,Michael Floyd,Michael,Floyd,00-0029638,7019,3,1,REG,2012,1
2015,ARZ,WR,ACT,Darren Fells,Darren,Fells,00-0029738,8549,2,1,REG,2013,1
2015,ARZ,RB,ACT,Stepfan Taylor,Stepfan,Taylor,00-0030282,7922,2,1,REG,2013,1
2015,ARZ,RB,ACT,Andre Ellington,Andre,Ellington,00-0030287,7968,2,1,REG,2013,1
2015,ARZ,DB,ACT,Tony Jefferson,Tony,Jefferson,00-0030294,8361,2,1,REG,2013,1
2015,ARZ,WR,ACT,Jaron Brown,Jaron,Brown,00-0030300,8128,2,1,REG,2013,1
2015,ARZ,LB,ACT,Kevin Minter,Kevin,Minter,00-0030382,7826,2,1,REG,2013,1
2015,ARZ,QB,ACT,Matt Barkley,Matthew,Barkley,00-0030533,7880,2,1,REG,2013,1
2015,ARZ,OL,ACT,Jonathan Cooper,Jonathan,Cooper,00-0030590,NA,2,1,REG,2013,1
2015,ARZ,DL,ACT,Josh Mauro,Josh,Mauro,00-0030883,9003,1,1,REG,2014,1
2015,ARZ,K,ACT,Chandler Catanzaro,Chandler,Catanzaro,00-0030896,9140,1,1,REG,2014,1
2015,ARZ,WR,ACT,Troy Niklas,Troy,Niklas,00-0031044,8687,1,1,REG,2014,1
2015,ARZ,LB,ACT,Kareem Martin,Kareem,Martin,00-0031050,8719,1,1,REG,2014,1
2015,ARZ,WR,ACT,John Brown,John,Brown,00-0031051,8726,1,1,REG,2014,1
2015,ARZ,DL,ACT,Ed Stinson,Edward,Stinson,00-0031265,NA,1,1,REG,2014,1
2015,ARZ,DB,ACT,Deone Bucannon,Deone,Bucannon,00-0031366,8662,1,1,REG,2014,1
2015,ARZ,RB,ACT,Kerwynn Williams,Kerwynn,Williams,00-0030117,8013,2,2,REG,2013,1
2015,ARZ,OL,ACT,Bobby Massie,Bobby,Massie,00-0029528,NA,3,3,REG,2012,1
2015,ARZ,LB,ACT,Dwight Freeney,Dwight,Freeney,00-0021146,NA,13,6,REG,2002,1
2015,ARZ,DL,ACT,Red Bryant,Joseph,Bryant,00-0026261,NA,7,12,REG,2008,1
2015,ARZ,DB,ACT,Corey White,Corey,White,00-0029658,NA,3,13,REG,2012,1
2015,ARZ,DB,ACT,D.J. Swearinger,Dayario,Swearinger,00-0030566,7838,2,14,REG,2013,1
2015,ARZ,LB,ACT,Jason Babin,Jason,Babin,00-0022695,NA,11,19,DIV,2004,1
2015,ATL,WR,ACT,Roddy White,Sharod,White,00-0023462,2244,10,1,REG,2005,2
2015,ATL,DL,ACT,Jonathan Babineaux,Jonathan,Babineaux,00-0023494,NA,10,1,REG,2005,2
2015,ATL,OL,ACT,Chris Chester,Chris,Chester,00-0024271,NA,9,1,REG,2006,2
2015,ATL,WR,ACT,Devin Hester,Devin,Hester,00-0024272,3002,9,1,REG,2006,2
2015,ATL,WR,ACT,Eric Weems,Eric,Weems,00-0024535,NA,8,1,REG,2007,2
2015,ATL,LB,ACT,Justin Durant,Justin,Durant,00-0025435,NA,8,1,REG,2007,2
2015,ATL,OL,ACT,Tyler Polumbus,Tyler,Polumbus,00-0025826,NA,7,1,REG,2008,2
2015,ATL,QB,ACT,Matt Ryan,Matthew,Ryan,00-0026143,4317,7,1,REG,2008,2
2015,ATL,DB,ACT,Charles Godfrey,Charles,Godfrey,00-0026207,NA,7,1,REG,2008,2
2015,ATL,WR,ACT,Jacob Tamme,Jacob,Tamme,00-0026267,4441,7,1,REG,2008,2
2015,ATL,DL,ACT,Kroy Biermann,Kroy,Biermann,00-0026294,NA,7,1,REG,2008,2
2015,ATL,DL,ACT,Tyson Jackson,Tyson,Jackson,00-0026980,NA,6,1,REG,2009,2
2015,ATL,OL,ACT,Andy Levitre,Andrew,Levitre,00-0027027,NA,6,1,REG,2009,2
2015,ATL,DB,ACT,Phillip Adams,Phillip,Adams,00-0027610,NA,5,1,REG,2010,2
2015,ATL,LB,ACT,O'Brien Schofield,O'Brien,Schofield,00-0027730,NA,5,1,REG,2010,2
2015,ATL,WR,ACT,Julio Jones,Quintorris,Jones,00-0027944,6158,4,1,REG,2011,2
2015,ATL,DL,ACT,Adrian Clayborn,Adrian,Clayborn,00-0027958,6172,4,1,REG,2011,2
2015,ATL,LB,ACT,Brooks Reed,Brooks,Reed,00-0027980,6194,4,1,REG,2011,2
2015,ATL,WR,ACT,Leonard Hankerson,Leonard,Hankerson,00-0028017,6231,4,1,REG,2011,2
2015,ATL,P,ACT,Matt Bosher,Matt,Bosher,00-0028130,6344,4,1,REG,2011,2
2015,ATL,OL,ACT,Mike Person,Michael,Person,00-0028177,NA,4,1,REG,2011,2
2015,ATL,OL,ACT,Bryce Harris,Bryce,Harris,00-0028862,NA,3,1,REG,2012,2
2015,ATL,OL,ACT,Gino Gradkowski,Gino,Gradkowski,00-0029268,NA,3,1,REG,2012,2
